,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,year
76,FF,2022-10-02,91.9,2.59,6.33,"Ray, Robbie",669127,592662,,foul,,,,,11.0,Shea Langeliers pops out to catcher Luis Torrens in foul territory.,R,R,L,SEA,OAK,S,,,1,0,2022,0.49,1.52,-0.01,3.44,,,664913.0,1,5,Top,,,,,620443,,,-7.703514264288672,-133.6185594105949,-4.783231313821323,7.543398536786527,28.143220860515974,-13.112714531952586,3.26,1.52,225.0,75.5,58.0,92.4,2219.0,6.6,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.94,,,,,,,,37,2,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,153.0,0.0,-0.058,2022
77,FF,2022-10-02,93.4,2.95,6.19,"Ray, Robbie",669127,592662,,ball,,,,,12.0,Shea Langeliers pops out to catcher Luis Torrens in foul territory.,R,R,L,SEA,OAK,B,,,0,0,2022,0.74,1.51,1.29,3.35,,,664913.0,1,5,Top,,,,,620443,,,-5.900017567675996,-135.87360993384678,-4.877932573719304,10.407995911510506,30.149580258804527,-12.568559469785242,3.22,1.62,,,,93.5,2242.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.09,,,,,,,,37,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,142.0,0.0,0.042,2022
78,SI,2022-10-02,91.5,2.77,6.14,"Ray, Robbie",664913,592662,single,hit_into_play,,,,,6.0,Seth Brown singles on a line drive to center fielder Jarred Kelenic.   Chad Pinder scores.,R,L,L,SEA,OAK,X,8.0,line_drive,0,0,2022,1.27,1.11,0.39,2.86,,640461.0,,1,5,Top,93.55,95.97,,,620443,,,-8.815103653737394,-133.01091080671912,-4.842430024754217,16.966347959834554,26.34615351379369,-18.135808391564584,3.51,1.72,202.0,75.2,18.0,92.3,2123.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.84,0.877,0.822,0.9,1.0,1.0,0.0,4.0,36,1,Sinker,0,3,3,0,4,0,4,0,Infield shift,Standard,154.0,-0.049,0.653,2022
79,SI,2022-10-02,93.2,2.91,6.03,"Ray, Robbie",660650,592662,field_out,hit_into_play,,,,,9.0,"Dermis Garcia grounds out, second baseman Adam Frazier to first baseman Ty France.   Chad Pinder to 2nd.",R,R,L,SEA,OAK,X,4.0,ground_ball,0,0,2022,1.38,0.97,0.61,2.05,,,640461.0,0,5,Top,121.6,141.44,,,620443,,,-8.988986500488796,-135.3763343552392,-6.683480755887922,18.884397175969728,26.551514609947983,-18.94212523724403,3.67,1.83,6.0,89.0,-17.0,94.0,2265.0,6.7,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.84,0.111,0.107,0.0,1.0,0.0,0.0,2.0,35,1,Sinker,0,3,3,0,3,0,3,0,Standard,Standard,142.0,0.007,-0.51,2022
80,CH,2022-10-02,87.6,2.81,6.08,"Ray, Robbie",640461,592662,single,hit_into_play,,,,,9.0,Chad Pinder singles on a line drive to right fielder Mitch Haniger.,R,R,L,SEA,OAK,X,9.0,line_drive,0,1,2022,0.93,0.94,0.81,2.13,,,,0,5,Top,182.21,100.26,,,620443,,,-6.753967552690001,-127.46830380428408,-5.402318475902317,11.45745915609767,24.52836506650924,-20.99784415666572,3.34,1.61,219.0,93.2,12.0,88.0,1820.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.1,0.871,0.837,0.9,1.0,1.0,0.0,4.0,34,2,Changeup,0,3,3,0,3,0,3,0,Infield shift,Standard,143.0,-0.018,0.429,2022
81,FF,2022-10-02,92.1,2.84,6.14,"Ray, Robbie",640461,592662,,foul,,,,,3.0,Chad Pinder singles on a line drive to right fielder Mitch Haniger.,R,R,L,SEA,OAK,S,,,0,0,2022,0.7,1.49,0.77,3.03,,,,0,5,Top,,,,,620443,,,-6.797536557324136,-133.96847208340424,-5.335939046872863,9.908943718842812,27.98565981262362,-13.213042387628535,3.34,1.61,212.0,82.8,64.0,92.4,2306.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.09,,,,,,,,34,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Infield shift,Standard,146.0,0.0,-0.034,2022
82,FF,2022-10-02,95.5,2.52,6.15,"Ray, Robbie",672478,592662,field_out,hit_into_play,,,,,1.0,"Jordan Diaz grounds out, second baseman Adam Frazier to first baseman Ty France.",R,R,L,SEA,OAK,X,4.0,ground_ball,0,1,2022,0.56,1.36,-0.51,3.02,,,,2,4,Top,146.44,149.05,,,620443,,,-9.29042249717184,-138.73597497896486,-5.70446160671986,9.281772931647522,29.213631130580715,-13.452098083649943,3.3,1.5,31.0,87.5,-4.0,96.0,2243.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,53.98,0.163,0.147,0.0,1.0,0.0,0.0,2.0,30,2,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,144.0,0.006,-0.082,2022
83,FF,2022-10-02,93.6,2.53,6.21,"Ray, Robbie",672478,592662,,foul,,,,,2.0,"Jordan Diaz grounds out, second baseman Adam Frazier to first baseman Ty France.",R,R,L,SEA,OAK,S,,,0,0,2022,0.7,1.48,-0.26,2.78,,,,2,4,Top,,,,,620443,,,-8.761359193028078,-136.0382282385349,-6.395502656338328,10.58471457390233,28.766598015934463,-12.58992112839604,3.3,1.5,181.0,75.0,18.0,93.9,2382.0,6.4,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.07,,,,,,,,30,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,150.0,0.0,-0.017,2022
84,SL,2022-10-02,90.0,2.7,6.14,"Ray, Robbie",669397,592662,field_out,hit_into_play,,,,,5.0,Nick Allen flies out to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,X,8.0,fly_ball,0,1,2022,0.02,0.61,-0.15,2.36,,,,1,4,Top,110.56,65.33,,,620443,,,-7.121002647337814,-131.071718287406,-4.798315458946089,1.5643442314554443,23.59676646176898,-24.29953138136013,3.0,1.41,333.0,94.3,38.0,90.6,2309.0,6.3,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.22,0.077,0.136,0.0,1.0,0.0,0.0,3.0,29,2,Slider,0,3,3,0,3,0,3,0,Standard,Standard,152.0,0.009,-0.132,2022
85,FF,2022-10-02,93.6,2.61,6.17,"Ray, Robbie",669397,592662,,foul,,,,,9.0,Nick Allen flies out to center fielder Jarred Kelenic.,R,R,L,SEA,OAK,S,,,0,0,2022,0.68,1.29,0.31,1.74,,,,1,4,Top,,,,,620443,,,-7.445327210720312,-135.94485303599518,-8.576853206849842,9.974915835676931,27.38271960179192,-14.449259924556705,3.0,1.41,85.0,78.1,6.0,94.0,2353.0,6.5,662087,592662,620443,664034,624428,647351,641487,608385,672284,571745,54.05,,,,,,,,29,1,4-Seam Fastball,0,3,3,0,3,0,3,0,Standard,Standard,147.0,0.0,-0.024,2022
