,count,count,count,percent,percent,percent,estimated_woba_using_speedangle,estimated_woba_using_speedangle
year,2021,2022,diff,2021,2022,diff,2021,2022
pitch_type,,,,,,,,
CH,18.0,5.0,-13.0,3.6363636363636362,0.992063492063492,-2.644300144300144,0.3303888888888889,0.293
FF,331.0,211.0,-120.0,66.86868686868686,41.86507936507937,-25.003607503607498,0.3988821752265861,0.3533080568720379
KC,20.0,10.0,-10.0,4.040404040404041,1.984126984126984,-2.0562770562770565,0.41375,0.4266
SI,1.0,116.0,115.0,0.20202020202020202,23.015873015873016,22.813852813852815,0.189,0.39013793103448274
SL,125.0,162.0,37.0,25.252525252525253,32.142857142857146,6.890331890331893,0.375952,0.3856975308641975
